Name,Base,Patch,Cross Function,Cross Statement
CVE-2018-21000,0,1,0,0
CVE-2019-16138,1,1,0,0
CVE-2020-35873,0,1,0,0
CVE-2020-35881,0,1,0,0
CVE-2020-35886,0,1,0,0
CVE-2020-35887,0,1,0,0
CVE-2020-35888,0,1,0,0
CVE-2020-35898,0,1,0,0
CVE-2020-35901,0,1,0,0
CVE-2020-35902,0,1,0,0
CVE-2020-35907,0,1,0,0
CVE-2021-25905,0,1,0,0
CVE-2021-45688,0,1,0,0
CVE-2022-23639,0,1,0,0
